	layer_id	name	D	Lambda	M	N	alpha	alpha_weighted	best_fit	bulk_mean_loc_ratio	bulk_mean_part_ratio	bulk_mean_vec_entropy	bulk_var_loc_ratio	bulk_var_part_ratio	bulk_var_vec_entropy	entropy	has_esd	lambda_max	layer_type	log_alpha_norm	log_norm	log_spectral_norm	matrix_rank	norm	num_evals	num_pl_spikes	rank_loss	rf	sigma	spectral_norm	stable_rank	sv_max	tail_mean_loc_ratio	tail_mean_part_ratio	tail_mean_vec_entropy	tail_var_loc_ratio	tail_var_part_ratio	tail_var_vec_entropy	warning	xmax	xmin
10	27		0.14570126542105055	-1.0	64.0	64.0	5.796369300262379	1.087032071358686	lognormal	19.953792594772878	2.171079165159682	3.6797302076085283	8.424055627803968	0.008564139630677437	0.006856273812802205	0.8962059345014639	1.0	1.5400567245247425	LAYER_TYPE.CONV2D	1.8639507386124419	2.110366824388817	0.18753671739126082	576.0	128.9338124086955	576.0	34.0	0.0	9.0	0.822570548815963	1.5400567245247425	83.72017105310465	1.2409902193509594	17.18541007311532	2.0606873915347905	3.607010823829971	11.873086514554908	0.01668938992181763	0.01303825122776829	success	1.5400567245247425	0.836242777417771
11	31		0.07705765432517658	-1.0	128.0	256.0	2.1618622709623185	2.8119515397872377	truncated_power_law	35.42544249573938	2.5286276806070753	3.9313996970379024	34.360832970067555	0.013973199559713455	0.012745730629947296	0.8417587066511286	1.0	19.985176814278862	LAYER_TYPE.CONV2D	3.0848929749224068	2.206311528561793	1.3007079949341742	128.0	160.80943592797064	128.0	55.0	0.0	1.0	0.15666547665680505	19.985176814278862	8.046435486779217	4.470478365262364	34.15298096012421	2.4849133457729207	3.9060713089248487	31.706811085381414	0.01620680814705554	0.013356265820656283	success	19.985176814278862	0.761493066194619
12	35		0.11300259384614675	-1.0	128.0	256.0	2.9577772498666373	2.367671648197072	truncated_power_law	36.03825743303819	2.55982830635835	3.948690923664716	24.28644319444636	0.008785662364675366	0.007986231778007155	0.9225648642130491	1.0	6.3166989867844725	LAYER_TYPE.CONV2D	3.7456553995940225	2.9736194392744264	0.8004901817078443	1152.0	941.0646051849003	1152.0	208.0	0.0	9.0	0.13574742808328916	6.3166989867844725	148.98044170756836	2.513304395966488	35.362977373673495	2.537486443999591	3.9300032077110507	30.317329436749628	0.014357166293010048	0.012199737980804388	success	6.3166989867844725	1.409713360117018
13	37		0.12976357017956774	-1.0	64.0	128.0	2.4485972022341196	1.4903115960467284	truncated_power_law	19.68927111064294	2.1613593052905897	3.6652575053965157	8.420538793373632	0.008863718899812125	0.00766117520731064	0.9203463405915291	1.0	4.061055605706277	LAYER_TYPE.CONV2D	2.7969377321228626	2.531083727600217	0.6086389360761159	576.0	339.69075523293867	576.0	193.0	0.0	9.0	0.10427230826586113	4.061055605706277	83.64592564446345	2.015206095094563	18.977123077004833	2.131624486119609	3.654500185071955	11.985746992505687	0.019166415299666378	0.010878521486061705	success	4.061055605706277	0.5737615856462509
14	39		0.09723066083237175	-1.0	64.0	64.0	2.454553483995463	1.7982259678728691	truncated_power_law	19.877159442804057	2.1711677528006925	3.6749454427275228	10.083679859804494	0.010655317809063652	0.00784981896293105	0.8615172434003739	1.0	5.402666786804083	LAYER_TYPE.CONV2D	2.701671816232689	2.3549206219230365	0.7326081829538138	576.0	226.4230425560125	576.0	107.0	0.0	9.0	0.14061699282469117	5.402666786804083	41.90949608608969	2.3243637380591022	18.91054570903118	2.1332193139546978	3.6493946570170586	10.430803078533366	0.012526224908326136	0.008102912536628221	success	5.402666786804083	0.6196409529155864
15	42		0.09384846112071332	-1.0	128.0	256.0	3.00228679045515	2.84741482088555	truncated_power_law	36.55984906293372	2.571075069499371	3.9527639495012594	23.561210652226453	0.0074018036109951765	0.006607440487850419	0.9144719247922993	1.0	8.880048366878537	LAYER_TYPE.CONV2D	4.126683972595339	3.037879204337462	0.9484153312528409	1152.0	1091.136802946858	1152.0	147.0	0.0	9.0	0.16514583106630182	8.880048366878537	122.87509683130342	2.9799410005700677	35.88072051969682	2.5533666849032444	3.940853681313804	24.840826401494997	0.008983365504010606	0.00890145903675199	success	8.880048366878537	2.0040462878525993
16	44		0.13110339462128928	-1.0	64.0	128.0	3.188947969478139	1.4706369008523892	lognormal	20.025200904986196	2.1744003258274245	3.680489264193094	8.688030844482705	0.008439760268476048	0.007748835698841517	0.9297273289004196	1.0	2.891790260666347	LAYER_TYPE.CONV2D	2.6718423409166006	2.448691163400359	0.461166790718462	576.0	280.9901935122652	576.0	113.0	0.0	9.0	0.20591890346939867	2.891790260666347	97.16824810369111	1.700526465735346	19.948470900013632	2.1754469738049482	3.679017972328769	10.045159598611006	0.00949849083706863	0.007517354157785084	success	2.891790260666347	0.8042674913946568
17	46		0.13382657102732448	-1.0	64.0	64.0	4.57989989492089	0.757534888455447	lognormal	20.067330162899506	2.1750601641079834	3.6745752272790315	8.820090114080356	0.008748278040250626	0.007048859565753681	0.9007977059462854	1.0	1.463538818091487	LAYER_TYPE.CONV2D	1.7385283975316734	2.1157640856045994	0.16540424590842115	576.0	130.5461551842057	576.0	54.0	0.0	9.0	0.487162670711072	1.463538818091487	89.19897003787237	1.2097680844242367	20.009832679653897	2.1758025938941015	3.688696209234734	9.23624836799276	0.009762692449958104	0.006353165693610095	success	1.463538818091487	0.6658953509381537
18	49		0.12723188396543567	-1.0	128.0	256.0	2.906950485901873	2.428440914272138	truncated_power_law	36.35061213505591	2.5662076473644975	3.9508099066286517	23.2256386794581	0.007254421438468208	0.007434052403997371	0.9252986893380342	1.0	6.845280050687903	LAYER_TYPE.CONV2D	3.9331045710435255	3.062885783833182	0.8353912204729972	1152.0	1155.8082333867947	1152.0	242.0	0.0	9.0	0.12258341999710876	6.845280050687903	168.8474722477781	2.616348610313217	35.666465134771165	2.550734838729894	3.9399113490436584	26.005236859986223	0.009962340678064693	0.009248148696851782	success	6.845280050687903	1.5683018960162458
19	51		0.12851734316326857	-1.0	64.0	128.0	2.5465285207833257	1.6306410669172346	truncated_power_law	19.763734121026072	2.1678330321291592	3.666801195256987	9.412958787639466	0.00954381130288619	0.008007951773658917	0.9223865191927153	1.0	4.368565176656922	LAYER_TYPE.CONV2D	2.9977410438779084	2.604499726691925	0.6403388195376036	576.0	402.2534028544631	576.0	183.0	0.0	9.0	0.11432267787009455	4.368565176656922	92.07906637260946	2.0901112833188864	18.816280637296074	2.1243095590173633	3.6471902252378827	10.303636001693574	0.016591731185072407	0.009782985035764582	success	4.368565176656922	0.7374223477662109
20	53		0.13222705562912607	-1.0	64.0	64.0	2.8062770611116123	0.9932338059815968	lognormal	19.777047191759564	2.1684923083159044	3.669734421662349	8.863230640553788	0.008870269766684105	0.007475931689394384	0.8927415632417682	1.0	2.2590867575902043	LAYER_TYPE.CONV2D	2.2322864332956387	2.2560730604383705	0.3539329098133171	576.0	180.33210842196968	576.0	136.0	0.0	9.0	0.15488698017800523	2.2590867575902043	79.82522486844735	1.5030258672392183	19.7264880486156	2.1603099653069107	3.6668314621086324	9.07711253844302	0.009157195236463609	0.007821194840558435	success	2.2590867575902043	0.4834263293053176
21	56		0.09418937601840077	-1.0	128.0	256.0	3.003336998969421	2.866370548965209	truncated_power_law	36.528225933168905	2.568840404414837	3.952516852998854	22.73122645382012	0.007365933934869669	0.006856381895016787	0.9260072398419219	1.0	9.003165722574519	LAYER_TYPE.CONV2D	3.9418020283105446	3.0266037882105112	0.954395244339476	1152.0	1063.17263117484	1152.0	195.0	0.0	9.0	0.14346194226755224	9.003165722574519	118.0887549930402	3.0005275740400252	36.53199868525645	2.5694115541425715	3.944742421957125	26.791124531116914	0.008840359519899043	0.007672641308841651	success	9.003165722574519	1.6180917218304836
22	58		0.10602777077996783	-1.0	64.0	128.0	5.764985842343599	2.7783305037079593	lognormal	19.83329260884187	2.169608204006823	3.6745180281407643	8.791285831700025	0.009433336733512467	0.007147843924320328	0.9356187563950885	1.0	3.033415396006831	LAYER_TYPE.CONV2D	3.310109943537092	2.4521432841683817	0.4819318866841318	576.0	283.2326294059622	576.0	35.0	0.0	9.0	0.8054296116755674	3.033415396006831	93.37086828886272	1.741670289121001	21.183169615842797	2.2103408149478336	3.669014628390278	16.73731975360773	0.014474972648086027	0.010721087223281162	success	3.033415396006831	1.4457649913999309
23	60		0.12818951893281572	-1.0	64.0	64.0	5.094176785531712	0.654834784877342	lognormal	19.96521873188055	2.174126236718137	3.6689644599952618	9.200808471470424	0.008910814413393057	0.007428708080685816	0.903930003901606	1.0	1.3444533940064445	LAYER_TYPE.CONV2D	1.615228898270802	2.105112218958417	0.1285457518351501	576.0	127.38321887085948	576.0	46.0	0.0	9.0	0.6036534341027643	1.3444533940064445	94.7472180432079	1.1595056679492535	19.082144760374575	2.142480484919838	3.640521701954199	13.677777805262343	0.019432896682934124	0.008280079972884718	success	1.3444533940064445	0.6749551383995611
24	63		0.1250163196700389	-1.0	128.0	256.0	5.1393723856947435	3.9964621146064094	lognormal	36.38987141829517	2.5664108639324916	3.9529182213534617	23.969202913880373	0.007327119203330415	0.007011672336911394	0.9305359781847741	1.0	5.992620315704979	LAYER_TYPE.CONV2D	5.159345288558561	3.0416255726309434	0.7776167622588347	1152.0	1100.5900257298397	1152.0	74.0	0.0	9.0	0.4811922657183839	5.992620315704979	183.6575600902833	2.4479829075598096	35.904563983532704	2.5514540847151346	3.9433630212879747	34.56974092699851	0.009570005684997853	0.008423854185765129	success	5.992620315704979	3.057136418168206
25	65		0.13322264028183284	-1.0	64.0	128.0	5.0867073149766275	2.357289565731272	lognormal	19.849329217392924	2.17005996618895	3.6672035120041993	9.32618659698001	0.009135797158651185	0.007597920420299863	0.9350023465232131	1.0	2.9068425334547685	LAYER_TYPE.CONV2D	3.3371669927619587	2.5103985394810753	0.46342150624447775	576.0	323.8907457604747	576.0	57.0	0.0	9.0	0.5412976072540949	2.9068425334547685	111.42356079932961	1.7049464899095128	18.87153549766623	2.1361202143326796	3.6473983116657855	5.412210952232037	0.006958536862308766	0.004815233996080132	success	2.9068425334547685	1.4206557757027332
26	67		0.13029403447691168	-1.0	64.0	64.0	4.353950064976057	1.1821979579106463	lognormal	20.21982624525596	2.184133001837989	3.6790943371765037	8.311891919276626	0.008447176188391059	0.006828742279225821	0.8987638232665907	1.0	1.8686290062025024	LAYER_TYPE.CONV2D	2.015102650746646	2.1670994075833834	0.27152308599504976	576.0	146.92625451550762	576.0	57.0	0.0	9.0	0.4442415385041193	1.8686290062025024	78.62783571689098	1.3669780562256668	19.674320832968142	2.1659670311963506	3.672932677370636	9.894691233349464	0.010639769266786656	0.00907296411226716	success	1.8686290062025024	0.7278931453213984
27	70		0.07562116244820849	-1.0	128.0	256.0	9.620938778522863	8.271873046229928	lognormal	36.31756353270146	2.567701738199405	3.949919339405467	22.13212869291895	0.006927903618818081	0.006914584223219269	0.9355660743978441	1.0	7.240660097114265	LAYER_TYPE.CONV2D	8.43772317725344	3.021659144156242	0.8597781605985791	1152.0	1051.1365658970924	1152.0	16.0	0.0	9.0	2.1552346946307157	7.240660097114265	145.17137274763368	2.690847468199241	37.97885931569705	2.5941121996793965	3.9835233202587492	38.91439947447784	0.011908788416463081	0.007932976476182477	under-trained	7.240660097114265	4.4126843422167275
28	72		0.08839263844441836	-1.0	64.0	128.0	4.417435517562055	2.2902486438755534	truncated_power_law	19.961542283763055	2.174443366279979	3.6707401974514395	8.896690319799934	0.009108628968000094	0.00750919578759427	0.9355645414108504	1.0	3.299564406848395	LAYER_TYPE.CONV2D	2.93524948230629	2.44042365155088	0.5184566101237675	576.0	275.69167470842183	576.0	60.0	0.0	9.0	0.44118902820851874	3.299564406848395	83.55396067923732	1.8164703154327613	20.521942281016102	2.180268957964212	3.671688197346411	9.923725201770248	0.010254654129680922	0.006311214741330695	success	3.299564406848395	1.1241041839145949
29	74		0.14130466765747401	-1.0	64.0	64.0	4.162481796221892	0.34314918535617356	lognormal	19.944392931301795	2.1723328476024757	3.6696310625013897	8.986155520136215	0.008773156995554879	0.006835803047552348	0.9040275460006953	1.0	1.209034248203187	LAYER_TYPE.CONV2D	1.56191085779204	2.0950629115660417	0.08243860325530686	576.0	124.4694904263129	576.0	78.0	0.0	9.0	0.3580805508762397	1.209034248203187	102.94951579022177	1.0995609342838564	20.129663723367727	2.1762424432138148	3.6748530767735197	7.450144307460638	0.005996903252691645	0.006036714127534847	success	1.209034248203187	0.5238270272623475
